book_id,title,price_gbp,price_inr,rating,in_stock,category_name
46,A Flight of Arrows (The Pathfinders #2),55.53,5858.42,5,1,Historical Fiction
69,A Spy's Devotion (The Regency Spies of London #1),16.97,1790.33,5,1,Historical Fiction
64,Between Shades of Gray,20.79,2193.34,5,1,Historical Fiction
48,Mrs. Houdini,30.25,3191.38,5,1,Historical Fiction
57,The Passion of Dolssa,28.32,2987.76,5,1,Historical Fiction
60,The Red Tent,35.66,3762.13,5,1,Historical Fiction
59,Voyager (Outlander #3),21.07,2222.89,5,1,Historical Fiction
65,While You Were Mine,41.32,4359.26,5,1,Historical Fiction
52,A Paris Apartment,39.01,4115.55,4,1,Historical Fiction
68,Lost Among the Living,27.7,2922.35,4,1,Historical Fiction
49,The Marriage of Opposites,28.08,2962.44,4,1,Historical Fiction
56,World Without End (The Pillars of the Earth #2),32.97,3478.34,4,1,Historical Fiction
45,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3132.3,3,1,Historical Fiction
50,Glory over Everything: Beyond The Kitchen House,45.84,4836.12,3,1,Historical Fiction
67,Starlark,25.83,2725.06,3,1,Historical Fiction
54,The Constant Princess (The Tudor Court #1),16.62,1753.41,3,1,Historical Fiction
66,The Secret Healer,34.56,3646.08,3,1,Historical Fiction
63,Girl in the Blue Coat,46.83,4940.56,2,1,Historical Fiction
53,Lilac Girls,17.28,1823.04,2,1,Historical Fiction
51,"Love, Lies and Spies",20.55,2168.02,2,1,Historical Fiction
61,The Last Painting of Sara de Vos,55.55,5860.52,2,1,Historical Fiction
58,Girl With a Pearl Earring,26.77,2824.24,1,1,Historical Fiction
62,The Guernsey Literary and Potato Peel Pie Society,49.53,5225.42,1,1,Historical Fiction
47,The House by the Lake,36.95,3898.23,1,1,Historical Fiction
55,The Invention of Wings,37.34,3939.37,1,1,Historical Fiction
44,Tipping the Velvet,53.74,5669.57,1,1,Historical Fiction
20,A Time of Torment (Charlie Parker #14),48.35,5100.92,5,1,Mystery
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,1,Mystery
40,The Girl You Lost,12.29,1296.59,5,1,Mystery
34,The Silkworm (Cormoran Strike #2),23.05,2431.78,5,1,Mystery
29,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5,1,Mystery
31,Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.9,4,1,Mystery
23,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,1,Mystery
12,Sharp Objects,47.82,5045.01,4,1,Mystery
16,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,1,Mystery
32,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4,1,Mystery
