book_id,title,price_gbp,price_inr,rating
2,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.86,4
8,A Year in Provence (Provence #1),56.88,6000.84,4
11,"1,000 Places to See Before You Die",26.08,2751.44,5
12,Sharp Objects,47.82,5045.01,4
14,The Past Never Ends,56.5,5960.75,4
16,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4
20,A Time of Torment (Charlie Parker #14),48.35,5100.92,5
23,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4
29,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5
31,Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.9,4
32,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4
34,The Silkworm (Cormoran Strike #2),23.05,2431.78,5
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4
40,The Girl You Lost,12.29,1296.59,5
46,A Flight of Arrows (The Pathfinders #2),55.53,5858.42,5
48,Mrs. Houdini,30.25,3191.38,5
49,The Marriage of Opposites,28.08,2962.44,4
52,A Paris Apartment,39.01,4115.55,4
56,World Without End (The Pillars of the Earth #2),32.97,3478.34,4
57,The Passion of Dolssa,28.32,2987.76,5
59,Voyager (Outlander #3),21.07,2222.89,5
60,The Red Tent,35.66,3762.13,5
64,Between Shades of Gray,20.79,2193.34,5
65,While You Were Mine,41.32,4359.26,5
68,Lost Among the Living,27.7,2922.35,4
69,A Spy's Devotion (The Regency Spies of London #1),16.97,1790.33,5
70,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.6,5
72,This One Summer,19.49,2056.19,4
73,The Nameless City (The Nameless City #1),38.16,4025.88,4
76,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1435.86,5
79,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,1628.92,4
87,Danganronpa Volume 1,51.99,5484.95,4
88,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,3873.96,4
89,Camp Midnight,17.08,1801.94,4
92,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4390.91,4
94,Batman: The Dark Knight Returns (Batman),15.38,1622.59,5
95,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,3939.37,4
98,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,1254.4,5
99,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,3737.86,4
104,El Deafo,57.62,6078.91,5
108,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,3581.73,4
109,Roller Girl,14.1,1487.55,5
111,"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,2211.28,4
116,"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,5321.42,4
118,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5860.52,5
119,"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,2275.64,5
129,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,1228.02,5
130,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,1952.8,4
136,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,4954.28,5
137,"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,2290.41,4
139,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4155.65,4
141,"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,5988.18,4
142,"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,4249.54,5
143,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,3655.58,5
144,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,6019.83,4
