title,price_gbp,price_inr,rating
Blood Defense (Samantha Brinkman #1),20.3,2141.65,3
"Love, Lies and Spies",20.55,2168.02,2
Between Shades of Gray,20.79,2193.34,5
Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.9,4
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,2211.28,4
Voyager (Outlander #3),21.07,2222.89,5
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,2275.64,5
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,2290.41,4
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2332.6,2
The Silkworm (Cormoran Strike #2),23.05,2431.78,5
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.66,1
Career of Evil (Cormoran Strike #3),24.72,2607.96,2
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5
Through the Woods,25.38,2677.59,2
Extreme Prey (Lucas Davenport #26),25.4,2679.7,3
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2688.14,2
Starlark,25.83,2725.06,3
"1,000 Places to See Before You Die",26.08,2751.44,5
Girl With a Pearl Earring,26.77,2824.24,1
Poisonous (Max Revere Novels #3),26.8,2827.4,3
The Widow,27.26,2875.93,2
Lost Among the Living,27.7,2922.35,4
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2941.34,2
The Marriage of Opposites,28.08,2962.44,4
The Passion of Dolssa,28.32,2987.76,5
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,3004.64,1
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,3077.44,2
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3132.3,3
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3151.29,3
Mrs. Houdini,30.25,3191.38,5
The Great Railway Bazaar,30.54,3221.97,1
Original Fake,31.45,3317.98,3
Batman: Europa,32.01,3377.06,2
World Without End (The Pillars of the Earth #2),32.97,3478.34,4
The Shadow Hero (The Shadow Hero),33.14,3496.27,1
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,3581.73,4
The Secret Healer,34.56,3646.08,3
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,3655.58,5
Most Wanted,35.28,3722.04,3
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,3737.86,4
The Red Tent,35.66,3762.13,5
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3839.14,3
Batman: The Long Halloween (Batman),36.5,3850.75,2
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,3852.86,2
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,3873.96,4
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.17,2
The House by the Lake,36.95,3898.23,1
Under the Tuscan Sun,37.33,3938.31,3
The Invention of Wings,37.34,3939.37,1
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,3939.37,4
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,4000.56,2
Awkward,38.02,4011.11,2
The Nameless City (The Nameless City #1),38.16,4025.88,4
In the Woods (Dublin Murder Squad #1),38.38,4049.09,2
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,4050.14,2
Neither Here nor There: Travels in Europe,38.95,4109.23,3
A Paris Apartment,39.01,4115.55,4
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,4128.22,1
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4155.65,4
