title,rating,price_gbp
"Fruits Basket, Vol. 2 (Fruits Basket #2)",5,11.64
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),5,11.89
The Girl You Lost,5,12.29
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,13.61
Roller Girl,5,14.1
Batman: The Dark Knight Returns (Batman),5,15.38
A Spy's Devotion (The Regency Spies of London #1),5,16.97
Between Shades of Gray,5,20.79
Voyager (Outlander #3),5,21.07
"Saga, Volume 3 (Saga (Collected Editions) #3)",5,21.57
The Silkworm (Cormoran Strike #2),5,23.05
What Happened on Beale Street (Secrets of the South Mysteries #2),5,25.37
"1,000 Places to See Before You Die",5,26.08
The Passion of Dolssa,5,28.32
Mrs. Houdini,5,30.25
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",5,34.65
The Red Tent,5,35.66
"Fruits Basket, Vol. 1 (Fruits Basket #1)",5,40.28
While You Were Mine,5,41.32
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",5,46.96
A Time of Torment (Charlie Parker #14),5,48.35
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,52.3
A Flight of Arrows (The Pathfinders #2),5,55.53
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",5,55.55
El Deafo,5,57.62
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,15.44
Camp Midnight,4,17.08
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",4,18.51
This One Summer,4,19.49
Delivering the Truth (Quaker Midwife Mystery #1),4,20.89
"Fruits Basket, Vol. 6 (Fruits Basket #6)",4,20.96
"Paper Girls, Vol. 1 (Paper Girls #1-5)",4,21.71
The Mysterious Affair at Styles (Hercule Poirot #1),4,24.8
Lost Among the Living,4,27.7
The Marriage of Opposites,4,28.08
World Without End (The Pillars of the Earth #2),4,32.97
"Fruits Basket, Vol. 9 (Fruits Basket #9)",4,33.95
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",4,35.43
"Codename Baboushka, Volume 1: The Conclave of Death",4,36.72
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",4,37.34
The Nameless City (The Nameless City #1),4,38.16
A Paris Apartment,4,39.01
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",4,39.39
"Fables, Vol. 1: Legends in Exile (Fables #1)",4,41.62
The Murder of Roger Ackroyd (Hercule Poirot #4),4,44.1
Sharp Objects,4,47.82
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4,49.43
"Fruits Basket, Vol. 4 (Fruits Basket #4)",4,50.44
Danganronpa Volume 1,4,51.99
Murder at the 42nd Street Library (Raymond Ambler #1),4,54.36
The Past Never Ends,4,56.5
"Giant Days, Vol. 1 (Giant Days #1-4)",4,56.76
A Year in Provence (Provence #1),4,56.88
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",4,57.06
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,57.7
